iter	Logloss
0	0.689107701
1	0.6853631935
2	0.681321423
3	0.6770209137
4	0.6730826628
5	0.6685263555
6	0.6646059821
7	0.6608588985
8	0.6572538086
9	0.6537688367
10	0.6501235215
11	0.6462820479
12	0.6425898813
13	0.6392159686
14	0.6356625156
15	0.6321911206
16	0.6287904111
17	0.6255757491
18	0.6220246359
19	0.6184542485
20	0.6144918056
21	0.6112492763
22	0.6080946818
23	0.6048382533
24	0.6019280798
25	0.5988062046
26	0.5958830198
27	0.592344154
28	0.5892606615
29	0.5864310089
30	0.5836070645
31	0.5806184385
32	0.5772887668
33	0.5749400093
34	0.5722246677
35	0.5697601438
36	0.5673644434
37	0.5647735912
38	0.5621948142
39	0.5597649931
40	0.5568619459
41	0.5543490167
42	0.5516927243
43	0.5495876058
44	0.5470336777
45	0.5447901714
46	0.5425530329
47	0.5402911791
48	0.5379847842
49	0.5358528398
50	0.5335449442
51	0.5315709206
52	0.5296509817
53	0.5275450858
54	0.5249417753
55	0.5225695816
56	0.5205260379
57	0.5184748686
58	0.5162597734
59	0.5140783262
60	0.5123174236
61	0.5101787828
62	0.5084572669
63	0.5068294624
64	0.50473573
65	0.5027674053
66	0.5007614089
67	0.4987058667
68	0.4968847174
69	0.4950338754
70	0.4934952019
71	0.4918798872
72	0.490443755
73	0.4887500148
74	0.4869247038
75	0.484272735
76	0.483040144
77	0.4814199758
78	0.4792844833
79	0.4770136487
80	0.4754498466
81	0.473839427
82	0.4721642573
83	0.4706725507
84	0.4691955539
85	0.4674217498
86	0.4658629558
87	0.464418946
88	0.4625854854
89	0.4610315988
90	0.4595471047
91	0.4582711884
92	0.4569745835
93	0.4556201888
94	0.4544785115
95	0.4527933435
96	0.4513915392
97	0.4499830202
98	0.4487472476
99	0.447636731
100	0.4464546315
101	0.4448761206
102	0.4437985616
103	0.442410923
104	0.4406037936
105	0.4386368845
106	0.4371435384
107	0.4360722849
108	0.4351563864
109	0.4332841763
110	0.4314595715
111	0.4298333071
112	0.4285994411
113	0.4272945002
114	0.4263962074
115	0.4247431396
116	0.4238815376
117	0.4224276695
118	0.4218164285
119	0.4210416512
120	0.4200868614
