iter	Passed	Remaining
0	0	592
1	1	552
2	1	533
3	2	550
4	2	540
5	3	531
6	3	519
7	4	515
8	4	507
9	5	502
10	5	498
11	6	498
12	6	493
13	7	493
14	7	491
15	7	488
16	8	489
17	8	486
18	9	489
19	9	488
20	10	486
21	10	483
22	11	482
23	11	483
24	12	481
25	12	480
26	13	479
27	13	479
28	14	477
29	14	475
30	15	473
31	15	471
32	16	470
33	16	469
34	17	469
35	17	468
36	17	465
37	18	464
38	18	463
39	19	461
40	19	460
41	20	458
42	20	457
43	20	455
44	21	454
45	21	453
46	22	452
47	22	451
48	23	450
49	23	449
50	24	449
51	24	448
52	24	446
53	25	445
54	25	444
55	26	443
56	26	443
57	27	442
58	27	441
59	28	440
60	28	440
61	29	440
62	29	439
63	29	437
64	30	436
65	30	436
66	31	435
67	31	434
68	32	434
69	32	433
70	33	432
71	33	432
72	33	431
73	34	430
74	34	429
75	35	429
76	35	428
77	36	427
78	36	426
79	37	426
80	37	425
81	37	424
82	38	424
83	38	424
84	39	423
85	39	423
86	40	422
87	40	421
88	41	421
89	41	420
90	42	420
91	42	420
92	42	419
93	43	418
94	43	418
95	44	417
96	44	417
97	45	416
98	45	416
99	46	415
100	46	415
101	47	414
102	48	421
103	48	420
104	49	420
105	49	420
106	50	420
107	51	421
108	51	421
109	52	421
110	52	421
111	53	422
112	53	421
113	54	420
114	54	419
115	54	419
116	55	418
117	55	418
118	56	415
119	56	415
120	57	414
121	57	415
122	58	415
123	58	414
124	59	414
125	59	414
126	60	414
127	60	414
128	61	416
129	62	415
130	62	414
131	63	414
132	63	413
133	63	413
134	64	412
135	64	412
136	65	413
137	66	412
138	66	412
139	67	412
140	67	412
141	68	412
142	68	412
143	69	412
144	69	412
145	70	412
146	70	411
147	71	412
148	72	412
149	72	412
150	73	412
151	73	411
152	74	411
153	74	411
154	75	411
155	76	411
156	76	411
157	77	410
158	77	409
159	77	409
160	78	408
161	78	408
162	79	407
163	79	407
164	80	406
165	80	406
166	81	405
167	81	404
168	82	404
169	83	405
170	83	405
171	84	405
172	84	405
173	85	404
174	85	404
175	86	403
176	86	403
177	87	402
178	87	402
179	88	401
180	88	401
181	89	400
182	89	400
183	90	399
184	90	399
185	91	398
186	91	398
187	92	397
188	92	397
189	93	396
190	93	396
191	94	395
192	94	394
193	94	394
194	95	394
195	95	393
196	96	392
197	97	394
198	97	394
199	98	393
200	98	393
201	99	392
202	99	391
203	100	391
204	100	390
205	101	389
206	101	389
207	102	388
208	102	388
209	103	388
210	103	387
211	104	387
212	104	386
213	105	386
214	105	385
215	106	384
216	106	384
217	106	383
218	107	383
219	107	382
220	108	381
221	108	381
222	109	380
223	109	380
224	110	379
